,PDF名字,解析结果
79,"00825-新世界百貨中國-(此文件已經作廢，經修訂文件已另行發出) 月報表截至2017年9月30日止的股份發行人的證券變動月報表 (505KB, PDF).pdf",无
80,"00825-新世界百貨中國-月報表(經修訂) 截至2018年9月30日止的股份發行人的證券變動月報表 (505KB, PDF).pdf",无
81,"00826-天工國際-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (273KB, PDF).pdf",无
82,"00832-建業地產-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (477KB, PDF).pdf",无
83,"00840-天業節水-月報表股份發行人的證券變動月報表 (377KB, PDF).pdf",无
84,"00846-明發集團-月報表股份發行人的證券變動月報表(截至2018年9月30日) (385KB, PDF).pdf",无
85,"00860-力世紀-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (499KB, PDF).pdf",无
86,"00868-信義玻璃-月報表股份發行人的證券變動月報表 - 2018年9月 (1164KB, PDF).pdf",无
87,"00871-中國疏浚環保-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (662KB, PDF).pdf",无
88,"00881-中升控股-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (125KB, PDF).pdf",无
89,"00889-連達科技控股-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (454KB, PDF).pdf",无
90,"00913-合一投資-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (586KB, PDF).pdf",无
91,"00919-現代美容-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (460KB, PDF).pdf",无
92,"00923-綜合環保集團-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (328KB, PDF).pdf",无
93,"00926-碧生源-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (485KB, PDF).pdf",无
94,"00953-邵氏兄弟控股-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (461KB, PDF).pdf",无
95,"00958-華能新能源-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (1015KB, PDF).pdf",解析失败请手动查看PDF
96,"00960-龍湖集團-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (639KB, PDF).pdf",有数据请查看
97,"00969-華聯國際-月報表截至2018年9月30日之股份發行人的證券變動月報表 (589KB, PDF).pdf",无
98,"00973-L'OCCITANE-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (480KB, PDF).pdf",无
99,"00987-中國再生能源投資-月報表截至二零一八年九月三十日之股份發行人的證券變動月報表 (232KB, PDF).pdf",无
100,"01006-長壽花食品-月報表截至二零一八年九月三十日止月份股份發行人的證券變動月報表 (470KB, PDF).pdf",无
101,"01013-偉俊集團控股-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (472KB, PDF).pdf",无
102,"01022-飛魚科技-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (252KB, PDF).pdf",无
103,"01028-千百度-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (245KB, PDF).pdf",无
104,"01029-鐵貨-月報表截至2018年9月30日止之股份發行人的證券變動月報表 (486KB, PDF).pdf",无
105,"01060-阿里影業-月報表截至二零一八年九月三十日股份發行人的證券變動月報表 (491KB, PDF).pdf",无
106,"01075-首都信息-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (494KB, PDF).pdf",无
107,"01076-博華太平洋-月報表截至2018年9月30日止月份的股份發行人的證券變動月報表 (436KB, PDF).pdf",无
108,"01108-洛陽玻璃股份-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (161KB, PDF).pdf",解析失败请手动查看PDF
109,"01125-麗豐控股-月報表截至二零一八年九月三十日止月份的股份發行人的證券變動月報表 (186KB, PDF).pdf",无
110,"01182-勝龍國際-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (348KB, PDF).pdf",无
111,"01193-華潤燃氣-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (502KB, PDF).pdf",无
112,"01196-偉祿集團-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (240KB, PDF).pdf",无
113,"01206-同方泰德-月報表C-Technovator-Monthly Return for September 2018 (475KB, PDF).pdf",无
114,"01211-比亞迪股份-月報表截止2018年9月30日股份發行人的證券變動月報表 (483KB, PDF).pdf",解析失败请手动查看PDF
